"","x","y"
"1",1880,-0.19
"2",1881,-0.1
"3",1882,-0.11
"4",1883,-0.19
"5",1884,-0.28
"6",1885,-0.31
"7",1886,-0.32
"8",1887,-0.35
"9",1888,-0.18
"10",1889,-0.11
"11",1890,-0.37
"12",1891,-0.23
"13",1892,-0.26
"14",1893,-0.31
"15",1894,-0.31
"16",1895,-0.22
"17",1896,-0.11
"18",1897,-0.12
"19",1898,-0.27
"20",1899,-0.18
"21",1900,-0.09
"22",1901,-0.15
"23",1902,-0.28
"24",1903,-0.38
"25",1904,-0.48
"26",1905,-0.28
"27",1906,-0.22
"28",1907,-0.39
"29",1908,-0.43
"30",1909,-0.47
"31",1910,-0.42
"32",1911,-0.43
"33",1912,-0.35
"34",1913,-0.35
"35",1914,-0.15
"36",1915,-0.12
"37",1916,-0.33
"38",1917,-0.44
"39",1918,-0.28
"40",1919,-0.26
"41",1920,-0.26
"42",1921,-0.18
"43",1922,-0.28
"44",1923,-0.25
"45",1924,-0.26
"46",1925,-0.21
"47",1926,-0.09
"48",1927,-0.2
"49",1928,-0.19
"50",1929,-0.34
"51",1930,-0.14
"52",1931,-0.09
"53",1932,-0.16
"54",1933,-0.28
"55",1934,-0.14
"56",1935,-0.2
"57",1936,-0.16
"58",1937,-0.04
"59",1938,-0.03
"60",1939,-0.03
"61",1940,0.12
"62",1941,0.18
"63",1942,0.05
"64",1943,0.07
"65",1944,0.21
"66",1945,0.09
"67",1946,-0.07
"68",1947,-0.04
"69",1948,-0.1
"70",1949,-0.11
"71",1950,-0.18
"72",1951,-0.07
"73",1952,0.01
"74",1953,0.07
"75",1954,-0.14
"76",1955,-0.14
"77",1956,-0.2
"78",1957,0.04
"79",1958,0.07
"80",1959,0.03
"81",1960,-0.02
"82",1961,0.06
"83",1962,0.04
"84",1963,0.07
"85",1964,-0.2
"86",1965,-0.1
